你叫什么	我也不知道，你帮我取个呗！
苍蝇落在蜜盆里	沾上了
苍蝇碰玻璃	看到光明无前途
苍蝇耍灯草	死中作乐；死快活
苍蝇推墙	自不量力；不自量
苍蝇围着鸡蛋转	没门；无门
苍蝇钻茅房	沾腥惹臭
操场上捉迷藏	无地容身；无处藏身
曹操八十万兵马过独木桥	没完没了
曹操背时遇蒋干，胡豆背时遇稀饭	倒霉透了；真倒霉
曹操的人马	多多益善；越多越好
曹操杀蔡瑁	上当受骗；操之过急
曹操杀吕伯奢	将错就错
曹操用计	又尖又滑
曹操用人	唯才是举
曹操遇关公	喜不自喜
曹操遇马超	割须弃袍
曹操诸葛亮	脾气不一样
草把儿打仗	假充好汉
草把儿撞钟	不想（响）
草把子作灯	粗心
草包竖大汉	能吃不能干
草丛里的眼镜蛇	歹毒
草地上的蘑菇	单根独苗
草甸上的苇子	靠不住
草房上安兽头	配不上；不配
草棵里的蚂蟥	不是善虫
草里的斑鸠	不知春秋
草驴（母驴〕卖了买叫驴（公驴〕	胡捣腾
草帽戴在膝盖上	不对头
草帽破了顶	露头
草帽子端水	一场空
草人过河	漂浮不定
草人救火	自身难保
草上的露火	不长久
草绳子拔河	经不住拉
草鞋上拴鸡毛	飞快；跑得快
草鞋撞钟	打不响
草原上的百灵鸟	嘴巧
草原上的劲风	挡不住
草原上点火	着慌（荒）
草原上天气	变化多端 
厕所顶上开窗子	臭气冲天
厕所挂牌	不是个厂
厕所里的茅缸	装死（屎）
厕所里挂表	有始（屎）有终（钟）
厕所里酒香水	香臭不分；香臭难分
厕所里寻灶王	找错了地方；搞错地方了
厕所里照镜子	臭美
茶杯盖上放鸡蛋	靠不住；不可靠
茶杯里放块糖	寿命不长
茶馆里摆龙门阵	想起什么说什么
茶馆里挂斧头	胡（壶）作（斫）非为
茶壶里喊冤	胡（壶）闹
茶壶里开染房	无法摆布；不好摆布
茶壶里泡豆芽	受不完的勾头罪
茶壶里贴饼子	难下手；下不了手；无法下手
茶壶里洗澡	扑腾不开
茶壶里煮挂面	难捞
茶壶没肚儿	光剩嘴
茶壶煮牛头	下不去
茶里放盐	惹人嫌（咸）
茶铺子里的水	滚开
茶食店夫火	果然（燃）
茶碗打酒	不在乎（壶）
搽粉上吊	死要脸
搽米汤上吊	糊涂死了
拆房逮耗子	大干一场；得不偿失
拆了茅房盖楼房	臭底子；底子臭；根子不净
拆了鞋面做帽沿	顾头不顾脚
拆庙搬菩萨	干脆利索；干净利索；收摊子
拆庙种灯草	有心（芯）无神
拆袜子补鞋	顾面不顾里
拆屋放风筝	只图风流不顾家
柴草人救人	自身难保
柴火上浇汽油	一点就着
柴油机抽水	吞吞吐吐
豺狼请客	绝无好事
豺狼请兔子的客	没好事；不是好事
馋狗等骨头	急不可待
馋鬼打灯笼	找吃的
馋鬼抢生肉	贪多嚼不烂
馋猫吃耗子	生吞活剥
馋人打赌	净是吃的
馋嘴巴走进药材店	自讨苦吃；自找苦吃
长坂坡上的赵子龙	单枪匹马
长虫吃高梁	顺杆爬
长虫吃蛤蟆	慢慢来
长虫打架	绕脖子
长虫戴草帽	细高挑儿（身材细长的人）
长虫当拐杖	靠不住；不可靠
长虫过乱石滩	绕来绕去
长虫爬进枪筒里	难回头；回头难
长虫碰壁	莽（蟒）撞
长虫吞针	扎心
长虫钻刺蓬	有去无回
长虫钻竹筒	难回头；回头难
长工的岁月	难熬
长工血汗钱	来之不易
长江里的石头	经过风浪
长江水万里流	波涛滚滚
长江涨大水	来势凶猛
长颈鹿的脑袋突出	头扬得高；高人一头
长袍马褂瓜皮帽	老一套
长衫改夹袄	取长补短
长尾巴蝎子	毒极了；最毒
长线放风筝	慢慢来
长竹竿戳水道眼	一通到底
长竹竿进城门	难转弯；转不过弯来
长竹竿进巷道	直来直去；直进直出；直出直入
肠子不打弯	直性子
肠子痒了	不能挠
常胜将军出征	所向无故
常胜将军回朝	凯旋归来
常胜将军上疆场	不获全胜不收兵
唱歌不看曲本	离了谱
唱京戏拉单弦	变了调
唱木偶戏的	尽捉弄人
唱皮影戏的跌跟头	丢人打家伙
唱戏不拉胡琴	干嚎
唱戏打边鼓	旁敲侧击
唱戏的挨刀	不怕；无伤大体；无关大体
唱戏的穿玻璃鞋	名角（明脚）
唱戏的穿龙袍	成不了皇帝
唱戏的吹胡子	假生气
唱戏的打板子	一五一十
唱戏的点兵	名不副实
唱戏的掉眼泪	可歌可泣；装相；收买人心
唱戏的抖三抖	假威风
唱戏的教徒弟	幕后指点
唱戏的拿马鞭子	走人了
唱戏的念道白	自言自语
唱戏没主角	胡闹台
钞票洗额头	见钱眼开
超载的火车	任重道远
晁盖的军师	无（吴）用
朝天放炮	空想（响）
朝天椒	又尖又辣
朝天一箭	无的放矢
朝廷的太监	后继无人
朝廷老爷拾大粪	有福不会享
朝鲜人过年	要狗命
炒菜不放盐	乏味
炒菜的铁锅	腻透了
炒胡豆下酒	干脆；干干脆脆
炒韭菜搁葱	白搭
炒了的虾米	红人（仁）
炒面捏的妹妹	熟人
炒面捏娃娃	熟人
炒熟的黄豆	难发芽
炒咸菜不放盐	有言（盐）在先
车把式扔鞭子	没人敢（赶）：谁敢（赶）
车道沟里的泥鳅	兴不起大浪
车翻了去驯马	晚了；迟了
车工三班倒	连轴转
车上拉客	宰（载）人
车有车道，船有船道	各有各的路
扯裤子补补丁	堵不完的窟窿
扯铃扯到半空中	空想（响）
扯乱了的丝线	找不到头
扯旗杆放炮	生怕别人不知道
扯起风帆又荡桨	有福不会享
扯起眉毛哄眼睛	自欺欺人，自骗自，自己哄自己
扯着胡子打秋千	谦虚（牵须）
扯足顺风篷	得势
臣民进皇宫	层层深入
沉香木当柴烧	用材不当
陈醋当酒喝	哭笑不得
陈谷做种子	难发芽
陈世美不认秦香莲	喜新厌旧
陈世美打轿夫	不识抬举
陈世美娶皇姑	喜新厌旧
陈世美做附马	喜新厌旧
晨雾炊烟	一吹就散
趁热打铁	赶紧；正在火候上 
撑不开的伞	没骨头
撑船不用篙	放任自流；任其自流
撑船的老板	看风使舵
成吉思汗的兵马	所向无敌
成熟的花生果	满人（仁）
成天想蚕茧	只顾私（丝）
城隍的扇子	扇阴风
城隍老爷戴孝	白跑（袍）
城隍老爷发神经	鬼迷心窍
城隍老爷嫁女儿	鬼打扮
城隍老爷娶妻	抬轿的是鬼，坐轿的也是鬼
城隍老爷剃脑壳	鬼头鬼脑
城隍庙的菩萨	正襟危坐；不怕鬼
城隍庙的铁算盘	难算；算不清；不由人算
城隍庙里出告示	吓鬼
城隍庙里打官司	死对头
城隍庙里的鼓槌	一对儿
城隍庙里的猪头	有主的
城隍庙里挂弓箭	色（射）鬼
城隍庙里聚会	净是鬼
城隍庙里闹内讧	鬼打鬼
城隍奶奶接生	出了鬼胎
城隍奶奶烧柴灶	鬼火直冒
城隍菩萨的马	不见起（骑）
城隍菩萨拉二胡	鬼扯
城隍爷不穿裤子	羞死鬼；无耻
城隍爷掉井里，土地爷扒头看	不敢劳（捞）驾；劳（捞）不起大驾
城隍爷躲债	穷鬼
城隍与玉皇	有天地之别
城门洞的行人	来去自由
城门口的砖头	踢出来的
城门楼上乘凉	好出风头
城门楼上的哨兵	高手（守）
城门楼上挂猪头	架子不小；好大的架子
城门上挂大钟	群众观点
城墙上的草	风吹两边倒
城墙上点烽火	告急
城墙上赶麻雀	白费功夫；白费劲；枉费工
城墙上骑瞎马	好险；冒险；危险
城头上放风筝	出手高
城外头开钱庄	外行
乘飞机打伞	兜风
乘慢车来的人	不速之客
乘字底下丢了人	真乖
程咬金拜大旗	运气好；众望所归
程咬金的三斧头	虎头蛇尾
程婴告密搜赵式	舍儿救孤
秤锤扔到大海里	直线下降
秤杆掉了星	不识斤两
秤杆上的准星	分得出斤两
秤杆与秤砣	密不可分
秤秆子柱路	小心（星）点
秤钩吊在屁股上	自称自
秤钩子钓鱼	捞不着
秤蛇掉进鸡窝里	捣蛋
秤砣掉在厨柜里	砸人饭碗
秤砣碰铁蛋	硬对硬
秤砣砸核桃	看他硬到几时
秤砧掉在鼓上	不懂（扑通）
吃霸王的饭，给刘邦干事	不是真心
吃饱饭闲嗑牙	没事找事
吃豹子胆长大的	凶恶极了
吃不了兜着走	自担责任
吃得耳朵都动	味道好爽
吃灯草灰长大的	说话没分量
吃豆腐多了	嘴松
吃多了安眠药	不省悟
吃多了碎米	罗嗦
吃蜂蜜说好话	甜言蜜语
吃狗肉喝白酒	里外发烧
吃瓜子	吞吞吐吐
吃挂面不调盐	有言（盐）在先
吃罐头没刀	难开口；口难开；不好开口
吃黄瓜蘸雪	乏味
吃鸡蛋不拿钱	混蛋
吃饺子不吃馅	调（挑）皮
吃酒陪新娘	装模作样；装样子
吃烤山芋	又吹又拍；吹吹拍拍
吃亏全在大意	末日来临
吃辣椒屙不下	两头受罪
吃狼奶长大的	凶恶极了
吃凉粉发抖	凉透心；冷透心
吃了白糖吃冰糖	乏味
吃了豹子胆	胆子不小；胆子大
吃了抄手吃馄饨	一码事
吃了秤秆	一肚子心眼
吃了定心丸	做事踏实
吃了海椒啃甘蔗	嘴甜心辣
吃了鸡下巴	爱搭嘴
吃了枯炭	黑心；黑了心
吃了雷公的胆	天不怕地不怕
吃了灵芝草	长生不老
吃了煤炭	火气冲天
吃了蒙汗药	动弹不得
吃了鸟枪药	火气冲天
吃了砒霜的老母鸡	抬不起头来
吃了三天斋就想上西天	功底还浅
吃了三碗红豆饭	满肚子相思
吃了烧茄子	多心
吃了窝脖鸡	憋气
吃了喜鹊蛋	乐开怀
吃了一包回形针	一肚子委屈（曲）
吃了一肚子响雷	胆大包天
吃了一筐烂石榴	满肚子坏点子
吃了一筐烂杏	心酸得很
吃了鱼钩的牛打架	勾心斗角
吃了早饭睡午觉	乱了时辰
吃了猪肝想猪心	贪得无厌；贪心不足
吃麻油唱曲子	油腔滑调
吃米不记种田人	忘本
吃棉花长大的	心软
吃面条找头子	多余
吃内脏的虫子	心腹之患
吃人不吐骨头	心狠手辣
吃人的老虎拍照	恶相；恶模样
吃人饭拉狗屎	没有人味；没人味
吃桑叶吐丝	肚里有货
吃虱子留后腿	小气
吃石头拉硬屎	顽固不化
吃屎狗难断吃屎路	本性难移
吃水不记掘井人	忘本
吃天鹅肉	痴心妄想；妄想
吃歪藤长大的	乱纠缠
吃苇坯拉炕席	满肚子瞎编；肚里编；嘴能编
吃窝头就辣椒	图爽快
吃乌龟皮	装王八孙子
吃稀糊糊游西湖	穷开心
吃咸鱼蘸酱	多余
吃香蕉剥皮	吃里爬（扒）外
吃药用冰糖作引子	又苦又甜
吃鱼不吐骨头	说话带刺儿
吃枣子不吐核	囫囵吞
吃斋的恶婆子	口素心不善
吃猪肉念佛经	冒充善人
吃竹竿长大的	直性人；直性子，
吃着海椒训人	说话带辣味
吃着黄连唱着歌	以苦为乐
吃着油条唱歌	油腔滑调
痴情碰冷遇	伤透心肝；伤透心；伤心
池里的王八塘里的鳖	一路货
池塘里的荷花	出污泥而不染
池塘里摸菩萨	劳（捞）神
赤膊上阵	要大干了
赤脚的和尚	两头光
冲瞎子问路	方向不明；找错了人
冲着和尚骂秃子	寻着惹气
冲着柳树要枣吃	故意刁难；有意为难
冲着姨夫叫丈人	乱认亲
虫吃沙梨	心里肯（啃）
虫蛀的扁担	经不住两头压
虫蛀的老槐树	肚里空；腹内空空
虫蛀的苹果	放到哪，烂到哪
虫子钻进核桃里	假充好人（仁）；冒充好人（仁）
抽刀断水	汪费心机
抽了架的丝瓜	蔫了
抽了筋的老虎	塌了架
抽芽的蒜头	多心
抽烟不带火	沾光
抽烟烧枕头	怨不着别人
仇人打擂	有你无我
绸子布包狗屎	臭名在外
丑八怪搽胭脂	自以为美
臭虫爬到拜盒里	抓住理（礼）了
臭虫咬胖子	揩油；沾油水
臭豆腐下油锅	有点香
臭鸡蛋	甩了
臭水坑里的核桃	不是好人（仁）
臭蚊子	死叮
臭羊皮	不消（硝）
出东门，往西拐	糊涂东西
出洞的狐狸	贼头贼脑
出洞的老鼠	东张西望
出锅的大虾	卑躬（背弓）屈膝
出国的大轮船	外行（航）
出家人娶媳妇	不守规矩
出嫁的姑娘	有主
出了笼的黄雀	自由自在
出了土的笋子	冒尖；露头
出了窑的砖	定了型；定型了
出笼的馍馍烤着吃	欠火候
出炉的钢锭	定了型；定型了
出炉的红铁	找打
出炉的铁水	沾不得
出门带条狗	随人走
出门戴口罩	嘴上一套
出门两条腿	随人走
出门坐飞机	远走高飞
出山的猛虎	凶相毕露；势不可当
出水的芙蓉	一尘不染
出膛的子弹	不会拐弯；永不回头；决不回头
出头的钉子	先挨砸
出土的陶俑	总算有了出头之日
出土的竹笋	捂不住
出土文物	宝贝疙瘩；老古董
出污水沟又掉茅坑	倒霉透了；真倒霉
出衙门骂大街	没事找事
初八当重阳	不久（九）
初二三的月亮	不明不白
初睛露太阳	重见天日；开云见日
初生的牛犊	不怕虎
初生的娃娃	小手小脚
初一晚上走路	漆黑一片
初一夜里出门	处处不明
除夕夜守岁	送旧迎新
厨房里的馋猫	记吃不记打
厨房里的垃圾	鸡毛蒜皮
厨子剥葱	扯皮
厨子回家	不跟你吵（炒）了
锄头钩月亮	够不着
锄头刨黄连	挖苦
楚霸王举鼎	好大的力气
楚霸王困垓下	四面楚歌
楚霸王种蒜	栽到家了
楚霸王自刎	身败名裂
楚霸王自刎乌江	没脸回江东
楚汉相争	在谋不在勇
楚王拿晏子开心	辱人反被辱
楚庄王猜谜语	一鸣惊人
楚庄王理政	一鸣惊人
揣着明白说糊涂	装傻 
赤膊上阵	要大干了
赤脚的和尚	两头光
冲瞎子问路	方向不明；找错了人
冲着和尚骂秃子	寻着惹气
冲着柳树要枣吃	故意刁难；有意为难
冲着姨夫叫丈人	乱认亲
虫吃沙梨	心里肯（啃）
虫蛀的扁担	经不住两头压
虫蛀的老槐树	肚里空；腹内空空
虫蛀的苹果	放到哪，烂到哪
虫子钻进核桃里	假充好人（仁）；冒充好人（仁）
抽刀断水	汪费心机
抽了架的丝瓜	蔫了
抽了筋的老虎	塌了架
抽芽的蒜头	多心
抽烟不带火	沾光
抽烟烧枕头	怨不着别人
仇人打擂	有你无我
绸子布包狗屎	臭名在外
丑八怪搽胭脂	自以为美
臭虫爬到拜盒里	抓住理（礼）了
臭虫咬胖子	揩油；沾油水
臭豆腐下油锅	有点香
臭鸡蛋	甩了
臭水坑里的核桃	不是好人（仁）
臭蚊子	死叮
臭羊皮	不消（硝）
出东门，往西拐	糊涂东西
出洞的狐狸	贼头贼脑
出洞的老鼠	东张西望
出锅的大虾	卑躬（背弓）屈膝
出国的大轮船	外行（航）
出家人娶媳妇	不守规矩
出嫁的姑娘	有主
出了笼的黄雀	自由自在
出了土的笋子	冒尖；露头
出炉的钢锭	定了型；定型了
出炉的红铁	找打
出炉的铁水	沾不得
出门带条狗	随人走
出门戴口罩	嘴上一套
出门两条腿	随人走
出门坐飞机	远走高飞
出山的猛虎	凶相毕露；势不可当
出水的芙蓉	一尘不染
出膛的子弹	不会拐弯；永不回头；决不回头
出头的钉子	先挨砸
出土的陶俑	总算有了出头之日
出土的竹笋	捂不住
出土文物	宝贝疙瘩；老古董
出污水沟又掉茅坑	倒霉透了；真倒霉
出衙门骂大街	没事找事
初八当重阳	不久（九）
初二三的月亮	不明不白
初睛露太阳	重见天日；开云见日
初生的牛犊	不怕虎
初生的娃娃	小手小脚
初一晚上走路	漆黑一片
初一夜里出门	处处不明
除夕夜守岁	送旧迎新
厨房里的馋猫	记吃不记打
厨房里的垃圾	鸡毛蒜皮
厨师熬粥	难不住
厨子搬家	另起炉灶
厨子剥葱	扯皮
厨子回家	不跟你吵（炒）了
锄头钩月亮	够不着
锄头刨黄连	挖苦
楚霸王举鼎	好大的力气
楚霸王困垓下	四面楚歌
楚霸王种蒜	栽到家了
楚霸王自刎	身败名裂
楚霸王自刎乌江	没脸回江东
楚汉相争	在谋不在勇
楚王拿晏子开心	辱人反被辱
楚庄王猜谜语	一鸣惊人
楚庄王理政	一鸣惊人
揣着明白说糊涂	装傻 
穿背心戴棉帽	不相称
穿不破的鞋	底子好
穿草鞋上树	欠妥（拖）
穿的兔儿鞋	跑的倒快
穿钉鞋踩屋瓦	捅漏子
穿钉鞋拄拐棍	步步扎实
穿冬衣摇夏扇	不知冷热
穿紧身马褂长大的	贴心
穿没底鞋	脚踏实地
穿木履过摩天岭	走险
穿皮袄吃醪糟	周身人热
穿皮袄打赤脚	凉了半截
穿山甲拱泰山	攻不倒
穿蓑衣救火	迟早都要烧
穿兔子鞋的	跑得快
穿袜子没底	装面子
穿西装戴斗笠	土洋结合
穿新鞋走老路	因循守旧
穿着汗衫戴礼帽	不相称
传闲话，落不是	自讨没趣；自找没趣；无事生非
船舱里生小鸡	漂浮（孵）
船到江心才补漏	晚了；迟了
船到码头车到站	停止不前
船底下放鞭炮	闷声闷气；闷声不响
船后跟朝北	难（南）行
船开才买票	错过时机
船老大带徒弟	从何（河）说起
船老大敬神	为何（河）
船老大坐后艄	看风使舵
船上打伞	没天没地
船上开晚会	载歌载舞
船上人充油灰	慢慢来
船上人上岸	不（步）行
船上失火	有底
船头办酒席	难铺开
船脱离了水	行不通；走不通
疮口上贴膏药	揭不得
窗户上糊纸	一捅就破
窗户上走人	门外汉
窗户眼里看人	小瞧
窗口插桂花	里外香
窗台上种瓜	长不大
窗子小跳不进去	格格不入
床底下吹号	低声下气
床底下吹喇叭	低声下气
床底下堆宝塔	高也有限
床底下放风筝	飞不高
床底下关鸡	提醒你
床底下鞠躬	抬不起头来
床底下练武	施展不开
床底下抡大斧	不好使家伙
床底下支张弓	暗箭伤人
床上耍花枪	打不开场面
吹灯裹脚	瞎缠
吹灯讲故事	瞎说
吹灯捉虱子	瞎摸
吹鼓手办喜事	自吹
吹鼓手的肚子	气鼓气胀；气鼓鼓
吹鼓手分家	一人一把号
吹鼓手赶集	没事找事
吹鼓手叫阵	赛吹
吹鼓手跳舞	蹦着吹
吹火筒不通	赌（堵）气
吹火筒打鸟	不像腔（枪）；不是真腔（枪）
吹糠见米	本小利大
吹牛皮赚钱	无本生意
吹气灭火	口气不小
吹唢呐的腮帮子	胀起来了
吹糖人出身	口气挺大
吹糖人的改行	不想做人
锤子炒菜	砸锅
春蚕到死	怀着私（丝）
春草闹堂	急中生智
春茶尖儿	又鲜又嫩
春分得雨	正逢时
春天的柳树枝	落地生根
春天的萝卜	心虚
春天的毛毛雨	贵如油
春天的蜜蜂	闲不住
春天的树尖	一天变个样
春天河边	富有诗（湿）意
春夏秋冬	年年有 椿树上的虱子
肚脐眼里说话	妖（腰）言；谣（腰）言
肚脐眼里通电	心明眼亮
肚痛点眼睛	胡摆治；无济干事；不济事
肚子饿了填黄连	自讨苦吃；自找苦吃
肚子里长草	闹饥荒
肚子里长瘤子	心履之患
肚子里撑船	内行（航）
肚子里磨刀	内秀（锈）；秀（锈）气在内
肚子里塞石头	心里沉重；心里负担太重
肚子里照火笼	自家心里明白
渡船过河	划得来
镀金的佛像	华而不实
端公打令牌	吓鬼
端公打坐	装神弄鬼
端里的泥象	有人样，没人味
端水缸救人	费力不小，收获不太
端午节拜年	不是时候
端午节吃饺子	与众不同
端午节划龙舟	载歌载舞
端午节卖历书	过时货
端午节赛马	走着瞧
端着鸡蛋过山涧	操心过度（渡）
端着鸡蛋走夜路	提心吊胆
短板子搭桥	不顶用；不顶事
短木搭桥	难到岸
断了半边腿的蝎子	团团转
断了翅膀的凤凰	神气不了
断了翅膀的鸟	飞不高
断了发条的钟	不走了
断了脊梁骨的癞皮狗	没骨气
断了捻子炮仗	不想（响）
断了腿的老虎	欲凶无力
断了腿的螃蟹	跑不了
断了腿的青蛙	没跑；跑不了
断了弦的二胡	不想（响）
断了线的风筝	身不由己
断了线的梭子	自钻空子
断了线的珠子	提不起来
断了轴的手推车	不走了
断藤的西瓜	满地乱滚
断尾巴靖蜒	有头无尾
断线的喇叭	不声不响
缎子被面麻布里	表里不一
锻工的榔头	趁热打铁
对空撒灰	害人先害己
对门吹笛子	斗气
对牛吟诗	不入耳；难入耳
对天鸣枪	吓唬人
对阵下棋	调兵遣将；纸上谈兵
对着穿衣镜作揖	自我崇拜
对着棺材唱大戏	死不听
对着棺材许愿	哄死人
对着镜子扮鬼脸	丑化自己
对着镜子亲嘴	自爱；自欺欺人；自骗自；自己哄自己
对着镜子说话	自言自语
对着镜子说漂亮	自我欣赏
对着聋子打鼓	充耳不闻
对着桑树骂槐树	指桑骂槐
对着水缸吹喇叭	有原因（圆音）
对着坛子打屁	憋气；憋得难受
对着砚台梳头	没影的事
对着张飞骂刘备	寻着惹气
对着赵云摔阿斗	收买人心
碓窝里舂米	实（石）打实（石）
碓窝里舂夜叉	捣鬼
碓窝里栽葱	根子硬
碓窝吞下肚	实（石）心眼
蹲在茅坑问香臭	明知故问
蹲在皮球里过日子	受尽窝囊气
钝刀切肉	不快
钝镰刀割麦	拉倒
多吃了盐巴	爱管闲（咸）事
多年的寡妇	老手（守）
多年的朋友	老交情
多年的师傅	老把式
垛泥匠不拜佛	心里有底
垛塑匠不敬泥菩萨	谁不知道谁
躲过野牛碰上虎	一个更比一个凶；一个比一个恶
躲雨躲到城隍庙	尽见鬼
躲在暖房的小偷	不寒而栗
峨眉山的猴子	机灵得很
峨眉山上的泉水	细水长流
鹅吃草，鸭吃谷	各人享各人福
鹅卵石放鸡窝	混蛋
鹅盆里不准鸭插嘴	独食独吞
鹅头装在鸭颈上	不象样
鹅吞鸡头	卡壳了
额头上长眼睛	眼界高
额头上倒冰水	从头凉到脚
额头上挂钥匙	开眼界
额头上刻个王字	成不了虎
额头上写字	明摆着
额头上着火	急在眼前
恶狗看见棍棒	又恨又怕
恶狗咬天	狂妄（汪）
恶虎斗狼群	寡不故众
恶狼扒门	成心糟蹋人
恶狼和疯狗作伴	坏到一块了
恶狼落隐阱	作恶到头了
恶狼学狗叫	没怀好意
恶狼遭雷劈	恶贯满盈
恶狼捉老鼠	饥不择食
恶老雕戴皮帽	假充鹰
恶老婆骂街	四邻不安
恶魔对丑怪	一对坏
恶人的棍子	随身带
恶人先告状	反咬一口
饿瘪的臭虫	见缝就钻
饿肚汉啃鸡爪	解不了馋
饿狗争食	自相残杀
饿鬼与苦鬼	都是一号
饿汉抢骨头	争嘴吃
饿虎吃樱桃	馋红了眼
饿虎舔米汤	不过瘾
饿狼吃羊羔	生吞活剥
饿狼口里夺骨头	好大的胆
饿狼扑兔子	抓住不放
饿狼吞泥土	没有人味
饿猫衔鱼	嘴紧
饿着肚子造反	借机（饥）闹事
鳄鱼挂念珠	冒充善人
鳄鱼上岸	来者不善
儿媳妇怀孕	装孙子
儿子成亲父做寿	好事成双
耳朵长在膝盖上	懒得听
耳朵漏风	听不进
耳朵塞驴毛	装聋
耳朵上挂板子	打听打听；打听
耳朵眼里下棋	摆不开阵势
二八月的天气	一冷一热；忽冷忽热
二八月的衣服	形形色色
二八月的庄稼	青黄不接
二八月干活	不冷不热
二八自行车	架子不小；好大的架子
二尺长的笛子	神吹
二齿钉耙锄地	有两下子
二齿钩子搔痒	是把硬手
二大娘腌咸菜	有言（盐）在先
二大娘肿脸	更难看
二分钱开个店	穷张罗
二杆子做活	傻干
二姑娘的针线包	花色多
二姑娘架老鹰	招架不住
二姑娘上轿	扭扭捏捏
二姑娘绣荷包	细功夫
二郎神出战	尽是天兵天将
二郎神吹笛子	神吹
二郎神的慧眼	有远见
二愣子报丧	慌里慌张
二愣子做活	猛一阵
二两棉花十张弓	谈（弹）不得；无法谈（弹）
二两铁打大刀	不够料
二流子烧香	不足信；没人信；信不得；鬼都不信
二流子学徒	混日子
二十八岁大姑娘	享（想）福（夫）了
二十九过年	小劲（进）
二十四磅榔头敲钢板	响当当；当当响
二十岁长胡子	少年老成
二十一天不出鸡	坏蛋
二踢脚上天	空想（响）
二小子不拉纤	顺水推舟
二小子穿大褂	规规矩矩
二小子丢钱包	傻了眼
二心的夫妻	迟早要散；同床异梦
二月的闷雷	想（响）得早
二月的青蛙	呱呱叫
发臭的酸奶	坏透了
发大水出丧	天灾人祸
发大水放排	随波逐流
发了霉的葡萄	一肚子坏水
发霉的沙黄豆	不香
发面的醇子	是个引子
发面馒头送闺女	实心实意
发射出去的火箭	扶摇直上
发射卫星上天	一鸣惊人
法官住班房	明知故犯；知法犯法
翻穿皮袄过草原	装佯（羊）
翻过来的面袋子	空了；空的
翻了篓的螃蟹	到处横行
翻着旧皇历找好日子	倒退
樊梨花下西凉	马到成功
蕃薯脑壳檀木心	不灵通
反转葫芦，倒转蒲扇	出尔反尔
饭店里卖服装	有吃有穿
饭店门前卖瘟猪	不知趣
饭店墙上挂蒜瓣	零揪
饭罐子打断耳	不能提了
饭锅上的茄子	软货
饭盒里盛稀饭	装糊涂
饭勺子上的苍蝇	混饭吃
饭桌上的盘子	没把柄
范进中举	喜出望外；喜疯了
方不方，圆不圆	没有规矩
方字比万字	只差一点；差一点
房顶的窟窿	漏洞
房顶开门	六亲不认
房顶落雪	不声不响；无声无息
房顶上扒窟窿	不是门
房顶上的冬瓜	两边滚
房顶上盖房	漏（楼）
房顶上栽花	难交（浇）
房间里闹鬼	怪物（屋）
房梁刻图章	大材小用
房梁上挂鸡子儿	悬蛋
房梁上挂辣椒	一串一串的
房梁做锄把	大材小用
房上的草	刮来的种儿
房头立雀	明摆着
房檐上玩把戏	不要命；玩命
房檐下的石头	轮（淋）不着
房子着了抢东西	趁火打劫
仿造的商标	冒牌货
纺纱厂的烂线团	头绪太乱
放大镜看报纸	显而易见
放大镜下的细菌	显而易见
放大镜照臭虫	原（圆）形毕露
放风筝断了线	没指望了
放火烧山林	不顾根本
放了气的皮球	软蛋
放鸟儿出笼	各奔前程
放屁踩着药捻子	赶到点子上了
放屁吹灯	各练一功
放屁打鼓	赶到点子上了
放屁捂屁股	小心过分；过分小心
放屁咬紧牙	暗里使劲；使暗劲
放屁砸着脚后跟	倒霉透了；真倒霉
放下担子聊天	歇后语
放咸鱼落塘	死活不管
放鸭子上山	错了地方
放羊的拾柴禾	捎带
放羊娃打酸枣	捎带活
飞奔的火车	一日千里
飞过的麻雀也要扯根毛	爱占便宜
飞机打飞机	空对空
飞机的屁股	尾巴翘上了天
飞机放屁	一溜烟
飞机上摆手	高招
飞机上唱大戏	高调
飞机上打拳	高手
飞机上打仗	放空炮
飞机上的婚礼	空喜
飞机上的客人	高贵
飞机上吊邮筒	高兴（信）
飞机上观天	目空一切
飞机上过秤	高标准
飞机上开会	高谈阔论
飞机上扔石头	一落千丈
飞机上跳舞	空喜
飞机上装大粪	臭气熏天
飞机着火	倒栽葱
飞了鸭子打了蛋	两落空；两头空
肥狗咬主人	忘恩负义
肥脚螃蟹	大家（夹）
肥皂穿云	轻松
肥皂泡当镜子	成了泡影
肥猪戴盔甲	浑身不自在
肥猪跑进屠户家	送上门的肉；找死
肥猪上屠场	挨刀的货
坟地里拉弓	色（射）鬼
坟里埋砒霜	阴毒
坟头打拳	吓鬼
坟头上耍大刀	吓死人
坟头上捅杆子	搅死人
坟头种牡丹	死风流
粉板上写字	不久长；难长久
粉搽到屁股上	不顾脸面；顾不得脸面
粉球滚芝麻	多少沾点
粉刷的乌鸦	白不久
粪巴牛叫门	臭到家
粪船过江	装死（屎）
粪堆上插鲜花	臭美
粪堆上栽桩子	臭光棍
粪缸盖上下棋	臭趣相投
粪缸里泡过的石头	又臭又硬；臭硬
粪坑上吹喇叭	臭名远扬
粪筐上的窟窿	死（屎）心眼
粪筐上的眼	死（屎）窟窿
粪里的蛆	没骨头
粪桶里洗萝卜	反惹一身臭
丰收年景的粮囤子	冒尖
风不摇树不动	事出有因
风车过马路	没辙
风吹灯草	心不定
风吹鸡毛	忽上忽下
风吹落叶	一扫光
风吹马尾	千丝万缕
